SNo	Date	Month	Year	BS	Expenses Group	Group	Sub Group	Bill Date	Vendor Name	Details-Description	Qty	KG	Feed KG	Rate	Amount
89	10/10/2025	Oct	2025	BS	Building Construction	Staff Room	Steel Rod			Steel Rod  -3 Pcs					
89	10/10/2025	Oct	2025	BS	Building Construction	Staff Room	Paint								
89	10/10/2025	Oct	2025	BS	Building Construction	Staff Room	Thineer								
89	10/10/2025	Oct	2025	BS	Building Construction	Staff Room	Misc								
90	10/10/2025	Oct	2025	BS	Building Construction	Staff Room	River Sand			River Sand					3645
90	10/10/2025	Oct	2025	BS	Building Construction	Staff Room	Cement			Cement		8		340	2720
90	10/10/2025	Oct	2025	BS	Building Construction	Staff Room	Loading/Unloading			Loading Chareg					150
90	10/10/2025	Oct	2025	BS	Building Construction	Staff Room	Feright and Cartage			Feright and Cartage- Traitor Bara					175
91	10/10/2025	Oct	2025	BS	Boundry Wall	Boundry Wall	Fancing Wire			Farming Boundry Wires 3 Boundle		3		950	2850
92	10/10/2025	Oct	2025	BS	Building Construction	Staff Room	Nail			Nail-Kati 1/2 KG @ 90					45
93	10/10/2025	Oct	2025	BS	Building Construction	Staff Room	Freight and Cartage			Loading Charge					60
94	10/10/2025	Oct	2025	BS	Building Construction	Staff Room	Wire			Road Wire 310 Gm					27
95	10/10/2025	Oct	2025	BS	Building Construction	Staff Room	Wages			Construction Labour Charge+1 Mistry+2 Labour 8th Oct					1600
96	10/10/2025	Oct	2025	BS	Building Construction	Staff Room	Wages			Construction Labour Charge 2 Misrty +4 Labour 9th Oct 					3200
97	10/10/2025	Oct	2025	BS	Building Construction	Staff Room	Wages			Construction Labour Charge 2 Misrty +4 Labour 10th Oct 					3200
98	10/10/2025	Oct	2025	BS	Building Construction	Staff Room	Cement			Cement Due amount					40
99	10/11/2025	Oct	2025	BS	Building Construction	Steel Rod	Office Room			Rod 2 KG 11.4  11.400X53.5-609.9					610
100	10/11/2025	Oct	2025	BS	Building Construction	Office Room	Office Room			Junk rub paper 					10
101	10/11/2025	Oct	2025	BS	Building Construction	Staff Room	Wages			Construction Labour Charge+1 Mistry+2 Labour 8th Oct					1600
102	10/12/2025	Oct	2025	BS	Building Construction	Colour	Colour			Puti 1 KG					40
103	10/12/2025	Oct	2025	BS	Building Construction	Colour	Colour			Puti Pati 20x2					40
104	10/12/2025	Oct	2025	BS	Building Construction	Colour	Colour			Primer wood		1			240
105	10/12/2025	Oct	2025	BS	Building Construction	Colour	Colour			Primer Red		1			240
106	10/12/2025	Oct	2025	BS	Building Construction	Colour	Colour			Not Clear					1664
107	10/12/2025	Oct	2025	BS	Building Construction	Colour	Colour			Putty  10 kg		10		36	360
108	10/12/2025	Oct	2025	BS	Building Construction	Colour	Colour			Putty  40 kg		40		16.375	655
